card name,question,answer
"","Can I use this ability even if I'm surrounded by sites, in the hopes that Rift Valley is on top of my atlas?","Yes, you may use the ability. Assuming a normal site (and not Rift Valley) is on top of your atlas, you'll reveal it, do nothing, and then put it back on top of your atlas."
"","If Pathfinder cannot move to the played site because of some effect (e.g. Sphere of Animosity, Quagmire) can you still play the site?","Yes, you can still play the site to a void or rubble adjacent to the Pathfinder, even if you know you cannot move to it (Sphere of Animosity) or an effect from the played site immediately stops the Pathfinder from being able to move (Quagmire)."
"","Can I use Ersatz Platz's ability to play a site from my collection?","No, Pathfinder's ability specifies that the site must come from the top of your Atlas."
"Payload Trebuchet","Do both units need to have been in play for a turn or have charge?","Yes. Summoning sick units can't be tapped to pay costs."
"Peace Offering","What does 'can't attack you' actually mean?","The other player can't attack anything you control (units or sites)."
"","If some effect prevents me from giving the Peace Offering to the other player (i.e. King Arthur), can they attack me on their next turn?","No, if the other player does not end up controlling the Peace Offering at least for a moment, you have not successfully given it to them, and they will be free to attack you."
"","If Peace Offering leaves the realm, does the truce still apply?","Yes, once the Peace Offering has been given to your opponent, they can't attack you next turn, regardless of what happens to the Peace Offering after that."
"Perilous Bridge","Can a unit be moved through the top border of this site by force?","No, assuming the unit does not have the Airborne ability.  Effects which drag/push/pull a unit cannot cause it to move through the top border of this site while on the ground.  For instance, a non-Airborne minion cannot use  [[Grapple Shot]] to pass through this border, and a [[Pudge Butcher]] cannot pull a non-Airborne unit through it. Teleport effects do not pass through borders, however, and are not considered movement on the ground, so they can allow a unit to ))move(( to a location on the other side."
"Persecutor","Can I brand an enemy and step toward the closest Evil on the same turn?","No, you must choose only one option each turn."
"","Can I brand an enemy in a different region, or one with Stealth?","Yes! Branding does not target, and therefore you can choose minions in different regions and/or those with Stealth. This can combo successfully with other cards that care about minions being Evil!"
"","Can I brand an enemy who can't be modified, e.g. Monks of Kobalsa?","Yes, you can still brand them, and your cards will still treat them as Evil. They aren't actually being modified or becoming Evil; your cards just treat them that way."
"","If my opponent has a warded minion and I brand it as Evil, does it lose Ward?","No, because only your cards treat it as Evil. Also, branding does not target, so Ward won't break for that reason either."
"","When determining 'closest Evil,' do I only consider units in my region?","Yes! See '((Closest))' for more details."
"Phantom Steed","What happens when a minion carries another minion that's carrying a minion?","Only the minions you're directly carrying count against your limit. Have fun at the carnival!"
"Philosopher's Stone","How does the Philosopher's Stone work with multi-element cards, such as King Arthur and Queen Guienevere? Would King Arthur, who requires 4 mana, cost 3 or 0 Mana to cast using the Stone?","Cards that have different element symbols count as a spell of each of those affinities. So Arthur and Guinevere are each an Air spell, an Earth spell, a Fire spell, and a Water spell, all at the same time. But you are still casting them together as a single spell. So, assuming Arthur is your spellcaster's first spell of the turn, the Stone will offer a discount of 1 mana for Arthur, making him cost 3 mana. 

This also means that when Arthur is played he uses up the Stone for that spellcaster's turn because he's simultaneously the first Air, Earth, Fire, and Water spell played this turn. So the Spellcaster cannot continue to use the stone that turn."
